Locality,logPPgdp,Purban,logFertility
Fr.Polynesia,13.761863,53,0.89199804
Gabon,11.722381,82,1.38379123
Gambia,8.228819,31,1.54756251
Georgia,9.231221,57,0.33647224
Germany,14.45237,88,0.30010459
Ghana,8.049849,36,1.41342303
Greece,13.388959,60,0.2390169
Guadeloupe,13.333575,100,0.74193734
Guatemala,10.745674,40,1.48387469
Guinea,8.550747,28,1.76130026
Guinea-Bissau,7.442943,32,1.96009478
Guyana,9.870365,36,0.83724752
Haiti,8.751544,37,1.38128182
Honduras,9.906891,54,1.31372367
Hungary,12.346791,65,0.18232156
Iceland,14.735609,93,0.66782937
India,8.867279,28,1.10194008
Indonesia,9.405141,42,0.85441533
Iran,12.462758,65,0.84586827
Ireland,14.705902,59,0.64185389
Israel,14.199672,92,0.99325177
Italy,14.208234,67,0.20701417
Jamaica,11.54593,57,0.85866162
Japan,14.989927,79,0.27763174
Jordan,10.753217,79,1.2725656
Kazakhstan,10.492855,56,0.66782937
Kenya,8.519636,34,1.38629436
Kiribati,8.870365,39,1.33500107
N.Korea,9.157347,61,0.3435897
S.Korea,13.128478,83,0.70309751
Kuwait,14.034627,96,0.97832612
Kyrgyzstan,8.257388,34,0.97077892
Laos,8.33985,20,1.56444055
Latvia,11.649256,60,0.09531018
Lebanon,12.312599,90,0.77932488
Lesotho,8.710806,29,1.34547237
Liberia,8,46,1.91692261
Libya,12.315999,88,1.10525683
Liechtenstein,15.074476,22,0.49469624
Lithuania,11.749031,69,0.22314355
Luxembourg,15.393424,92,0.54812141
Madagascar,8.118941,30,1.74046617
Malawi,7.011227,15,1.80828877
Malaysia,11.871905,58,1.06471074
Maldives,10.927037,28,1.67335124
Mali,7.643856,31,1.94591015
Malta,13.174458,91,0.57097955
Marshall.Is,10.920353,66,1.30291275
Martinique,13.388421,95,0.64185389
Mauritania,8.463524,59,1.75613229
Mauritius,11.88684,42,0.66782937
Mexico,12.586371,75,0.91629073
Micronesia,11.113091,29,1.33500107
Mongolia,8.703904,57,0.88376754
Morocco,10.161132,56,1.01160091
Mozambique,7.61471,33,1.72810944
Namibia,10.6786,31,1.51732262
Nepal,7.820179,12,1.44926916
Netherlands,14.537764,90,0.54232429
Neth.Antilles,13.56855,69,0.71783979
New.Caledonia,13.943064,78,0.89608802
New.Zealand,13.68661,86,0.69813472
Nicaragua,8.933691,57,1.32175584
Niger,7.459432,21,2.07944154
Nigeria,8.764872,45,1.69009582
Norway,15.153433,75,0.58778666
Oman,12.857398,77,1.60140574
Pakistan,8.707359,33,1.62531126
Palau,12.593158,69,1.09861229
Panama,11.727495,57,0.99325177
Papua.New.Guinea,9.090112,18,1.40854497
Paraguay,10.328675,57,1.34547237
Peru,11.003518,73,1.05082162
Philippines,9.851749,59,1.1568812
Poland,12.185185,63,0.23111172
Portugal,13.417853,66,0.37156356
Puerto.Rico,14.22,76,0.63657683
Qatar,14.89619,93,1.16938136
Moldova,8.434628,41,0.33647224
Reunion,13.165535,72,0.83290912
Romania,10.729621,55,0.27763174
Russia,11.062721,73,0.13102826
Rwanda,7.67948,6,1.74745921
Saint.Kitts.and.Nevis,13.040632,34,0.87962675
Saint.Lucia,12.28598,38,0.81977983
St.Vincent/Grenadines,11.5216,56,0.80200159
Samoa,10.453271,22,1.41585316
Sao.Tome.and.Principe,8.285402,48,1.38379123
Saudi.Arabia,12.915132,87,1.51072194
Senegal,8.903882,48,1.60341984
Serbia.and.Montenegro.,9.97728,52,0.50077529
Seychelles,12.938477,65,0.69314718
Sierra.Leone,7.357552,37,1.87180218
Singapore,14.341171,100,0.3074847
Slovakia,11.8792,58,0.24686008
Slovenia,13.208082,49,0.13102826
Solomon.Islands,9.569856,20,1.4861397
Somalia,6.78136,28,1.98100147
South.Africa,11.316282,58,0.95935022
Spain,13.797054,78,0.13976194
Sri.Lanka,9.691744,23,0.69813472
Sudan,8.554589,37,1.47932923
Suriname,10.940314,75,0.89608802
Swaziland,10.23362,27,1.51292701
Sweden,14.531381,83,0.49469624
Switzerland,15.072174,67,0.3435897
Syria,12.280771,52,1.19996478
Tajikistan,7.426265,28,1.11841492
Thailand,10.859535,20,0.65752
Macedonia,10.750707,59,0.64185389
Timor-Leste,8.774787,8,1.34807315
Togo,8.092757,34,1.67335124
Tonga,10.326429,33,1.31103188
Trinidad.and.Tobago,12.734921,75,0.43825493
Tunisia,11.020286,66,0.69813472
Turkey,11.060696,66,0.88789126
Turkmenistan,10.302639,45,0.99325177
Uganda,7.900867,15,1.96009478
Ukraine,9.575539,68,0.13976194
United.Arab.Emirates,14.274378,87,1.03673688
United.Kingdom,14.561885,90,0.47000363
Tanzania,8.038919,33,1.6311994
USA,15.086302,77,0.74668795
Uruguay,12.428884,92,0.83290912
Uzbekistan,8.707359,37,0.89199804
Vanuatu,10.083479,22,1.41827741
Venezuela,12.290307,87,1.00063188
Viet.Nam,8.70044,25,0.83290912
Yemen,8.751544,25,1.9473377
Zambia,8.430453,40,1.72988407
Zimbabwe,9.457381,36,1.36097655
