Order,PredictedSalesPrice_FirstLast
1033,86771.38476
384,117785.8653
1366,182690.4875
2406,76365.2725
906,93328.82539
2252,88663.95999
638,111935.4149
1868,86771.35614
798,111947.1811
232,111935.4149
2162,93928.07018
2477,76365.27251
62,121118.1169
1348,74688.30944
793,121118.1169
2310,84364.39775
2325,117785.8643
2180,93000.04237
496,85786.43541
1697,88320.26693
185,121118.1169
1954,111935.4149
576,117785.8653
1930,84364.39775
1157,121118.1169
2590,92419.30437
295,108049.6631
1554,108049.6631
2040,67304.54572
1631,86209.95006
1689,86771.47823
1936,121118.1169
2584,99548.91221
1993,60965.78829
2723,108418.0551
2239,145069.3362
1796,109529.4808
2610,121118.1169
2116,154370.3924
2185,180617.8848
2852,96238.28791
2680,131458.4782
1982,111935.4149
271,86771.47823
2285,93000.04237
2874,109529.4808
1171,117785.8653
9,117785.8653
681,76365.2725
2416,99548.91221
1878,121118.1169
2927,121118.1169
2502,86771.47823
2075,86209.95006
1854,121118.1169
51,78270.83673
1690,93111.9981
515,117785.8653
2837,121946.6939
48,85786.4351
878,93000.04237
1791,121118.1169
2774,121118.1169
1394,99548.91221
564,93111.99811
1315,126649.1692
1304,111935.4149
968,85786.43541
804,121118.1169
2272,86771.47823
2751,73101.34679
201,116224.6961
2199,111935.4149
1599,86209.95006
900,99548.91221
145,88663.95999
550,121118.1169
206,121118.1169
2037,111935.4149
2100,69858.00837
169,111935.4149
150,86771.47823
2168,121118.1169
1378,88663.95999
2066,94125.52066
842,121118.1169
545,86771.47823
2603,93928.07018
2699,86771.47823
1600,116493.9145
1001,76365.2725
2385,85786.43541
859,86209.95006
2696,99548.91221
574,67903.13693
2846,131458.4782
2369,116710.6151
1691,75766.92159
1002,117785.8653
458,85786.43541
2184,121118.1169
1533,154884.1651
2218,117781.5904
1550,121946.6939
367,93111.99811
873,121118.1169
689,105216.7383
1247,121118.1169
1693,145069.3362
1395,99548.91221
2183,118156.8662
1237,121118.1169
1098,93928.07018
1994,99548.91221
1637,121118.1169
118,121118.1169
830,117785.8653
2284,93000.04237
1900,145069.3362
1406,86771.47823
1725,76365.2725
1660,99548.91221
2338,104432.5094
1476,121118.1169
2619,86209.95006
2304,119236.8782
1014,133930.0029
2172,108418.0551
1414,121118.1169
656,145069.3362
888,98862.21788
2057,145069.3362
252,69858.00837
1133,121118.1169
1385,121118.1169
2871,86209.95006
1294,76365.2725
476,93928.07018
1681,76311.29101
303,105216.7383
175,79696.83984
2783,101298.1317
2710,86771.47823
1349,67304.54572
1069,103285.593
2591,154370.3924
1914,121118.1169
2524,86771.47823
2266,86771.47823
2192,115459.1972
2531,69858.00837
366,117785.8653
2801,117785.7832
971,154370.3894
965,86771.47823
43,84364.39775
84,98862.21788
2082,86771.47823
780,85786.43541
140,121118.1169
1901,86771.47823
593,117785.8653
1290,78270.83673
1124,121118.1169
2617,86771.47823
1713,121118.1169
1094,121118.1169
1682,74029.04784
2392,121118.1169
1147,121118.1169
2648,145069.3362
189,93928.07018
40,69858.00837
2588,86771.47823
1879,84364.39775
2061,122892.1864
2352,121118.1169
1979,76311.29101
242,86209.95006
2559,121118.1169
1770,121118.1165
2098,122746.047
2455,99548.91202
1400,111935.4149
1640,121118.1169
1426,88774.93275
874,121118.1169
2148,76365.2725
646,69923.67905
1656,121118.1169
1166,81749.19115
909,145069.3362
1633,117785.8653
912,109529.4808
1167,74949.52747
549,76365.2725
750,93928.07018
1683,81749.19115
720,108418.0551
2701,107193.8703
1178,67903.13693
2583,122892.1864
1435,121118.1169
2429,117785.8653
2279,154370.3924
139,76365.2725
57,93928.07018
1186,84364.39775
734,93328.8255
2538,121118.1169
147,86771.47824
2131,93928.07018
279,121118.1169
363,121118.1169
1384,86771.47823
1029,86771.47823
1972,121118.1169
2669,91818.26682
1892,121118.1169
1309,99548.91221
534,69858.00837
319,139655.012
2422,76311.29101
2330,85786.43541
1429,86771.47823
570,116224.6961
1291,79696.83984
1551,95712.63959
318,145069.3362
684,121118.1169
245,111935.4149
997,99548.91221
696,79696.83984
2658,93928.07018
1216,121118.1169
1469,93000.04237
1964,121118.1169
768,145069.3362
600,122892.1864
1053,85786.43541
1232,76365.2725
509,69858.00837
438,69858.00837
99,74950.54904
2693,121946.6939
288,111935.4149
2738,82118.22968
1017,121217.6283
953,107877.5597
887,117426.085
1268,117785.8653
608,86771.75804
2516,76365.2725
716,93928.07018
2410,76311.29101
133,121118.1169
1454,69858.00837
1058,85786.43541
1641,121118.1169
379,96386.8863
1890,145069.3362
2013,76365.40121
1677,74029.04784
2844,145069.3362
2008,121118.1169
82,76365.2725
30,74029.04784
893,110666.6697
2247,116224.6961
852,69858.00837
527,121118.1169
721,149501.3064
2788,121118.1169
1849,78270.83673
1047,78333.19957
2803,91844.71485
2686,99548.91221
1717,117785.8653
641,122892.1864
2889,122891.986
1063,121118.1169
2194,122855.3721
947,121118.1169
708,145068.5711
465,145069.3362
1037,121118.1169
1341,79696.83984
2344,86771.47823
1210,121118.1169
1079,63199.87018
2411,84364.39775
2769,121118.1169
2317,98551.91623
2030,87513.69793
916,93928.07018
1872,121118.1169
181,111935.4149
2085,98862.21788
1593,86771.47823
4,85786.43541
2545,121118.1169
1293,145069.3362
2333,88320.26693
137,93111.99811
807,153921.6516
1975,145069.3362
2906,117785.8653
783,102803.5452
2585,86771.47823
851,121118.1169
1012,93928.07018
1458,117785.8653
2464,76365.2725
2490,121118.1169
129,108418.0551
2915,74029.04784
275,111935.4149
193,111935.4149
992,121118.1169
2576,86771.47823
835,153921.6516
1998,99548.91221
93,121118.1169
2715,121118.1169
441,86771.47823
454,117785.8653
1981,111935.4149
784,92419.30437
568,74950.54904
2764,121118.1169
1756,93928.07018
2273,121118.1169
2364,121118.1169
1740,93928.07018
1134,99548.91221
1816,145069.3362
699,117785.8653
2278,218919.8867
2067,153921.6516
2561,122892.1864
1096,93928.07018
2668,121946.6939
1840,65805.57887
1357,80151.84848
308,145069.3362
998,86771.47823
2158,86209.95006
551,121118.1169
436,86209.95006
427,69858.00837
297,93111.99811
176,78270.83673
123,111935.4149
408,73971.41645
1754,93928.07018
903,69858.00837
2697,237939.6836
2435,99548.91221
356,117785.8653
1356,86771.47823
2822,86209.95006
794,111935.4149
742,87514.04093
2698,111935.4149
447,69858.00837
132,121118.1169
610,109529.4808
1165,78270.83673
688,76365.2725
897,104770.7486
891,121118.1169
2663,145069.3362
1897,86771.47823
686,145069.3362
2242,155195.4938
2482,76365.2725
1488,121118.1169
847,93928.07018
2537,106284.675
289,67304.54572
66,85786.43541
101,78422.26804
2759,86771.47823
2438,121118.1169
1562,116224.6961
2533,121118.1169
2460,84364.39774
1262,121118.1169
2838,121118.1169
15,121118.1169
180,121118.1169
2043,146714.6419
1611,154370.3924
934,74029.04784
2514,67304.54572
715,78270.83673
1034,93928.07018
1252,107877.5597
1371,145069.3362
1984,67903.13693
1955,118048.9385
931,99548.91221
1638,154370.3924
1826,122892.1864
2451,94125.52066
224,121110.8504
558,105216.7383
2261,111935.4149
1625,76365.2725
